,times
"('DiscreteIntegrator', 'Sin')",4
"('ComplexToMagnitudeAngle', 'Sum')",103
"('DiscreteZeroPole', 'Product')",78
"('DiscreteZeroPole', 'Constant')",53
"('ComplexToMagnitudeAngle', 'Product')",10
"('MinMax', 'DiscreteTransferFcn')",2
"('ComplexToRealImag', 'MinMax')",3
"('DigitalClock', 'Inport')",49
"('UnaryMinus', 'Scope')",2
"('Gain', 'PermuteDimensions')",4
"('Inport', 'Gain')",21
"('Step', 'Reference')",6
"('Signum', 'Terminator')",42
"('Constant', 'Signum')",79
"('Abs', 'Bias')",34
"('PermuteDimensions', 'Bias')",3
"('Bias', 'Constant')",7
"('Abs', 'Inport')",27
"('Delay', 'Bias')",25
"('Bias', 'PermuteDimensions')",5
"('Reference', 'Display')",82
"('UnaryMinus', 'Terminator')",2
"('Polyval', 'Math')",2
"('DiscreteFir', 'MinMax')",4
"('Math', 'Delay')",25
"('MinMax', 'UnaryMinus')",3
"('Math', 'Outport')",26
"('Math', 'Constant')",5
"('Delay', 'Math')",28
"('Squeeze', 'DotProduct')",3
"('DotProduct', 'Product')",6
"('Inport', 'Squeeze')",291
"('Product', 'Squeeze')",9
"('Squeeze', 'Outport')",118
"('DotProduct', 'Sum')",8
"('DotProduct', 'Inport')",35
"('Squeeze', 'Delay')",217
"('Outport', 'ComplexToRealImag')",90
"('ComplexToRealImag', 'Inport')",18
"('DiscreteFir', 'Outport')",343
"('Outport', 'DiscreteTransferFcn')",26
"('Outport', 'DiscreteFir')",259
"('Reference', 'Gain')",13
"('Inport', 'S-Function')",7
"('S-Function', 'Outport')",5
"('Sqrt', 'Abs')",3
"('UnaryMinus', 'Outport')",64
"('UnaryMinus', 'Gain')",3
"('Gain', 'Outport')",25
"('Product', 'UnaryMinus')",42
"('Constant', 'Gain')",7
"('UnaryMinus', 'Product')",31
"('UnaryMinus', 'Constant')",41
"('Sqrt', 'UnaryMinus')",2
"('Constant', 'MinMax')",97
"('UnitDelay', 'Sqrt')",3
"('Constant', 'UnitDelay')",9
"('Product', 'UnitDelay')",7
"('UnitDelay', 'Inport')",41
"('DiscreteStateSpace', 'Inport')",19
"('SubSystem', 'DiscreteZeroPole')",45
"('DiscreteStateSpace', 'SubSystem')",30
"('SubSystem', 'DiscreteStateSpace')",28
"('DiscreteStateSpace', 'Outport')",103
"('Trigonometry', 'SubSystem')",27
"('SubSystem', 'SubSystem')",459
"('DiscreteFilter', 'SubSystem')",14
"('DigitalClock', 'If')",2
"('DigitalClock', 'Reference')",46
"('PermuteDimensions', 'Assignment')",2
"('SubSystem', 'If')",37
"('SubSystem', 'DiscreteIntegrator')",22
"('Rounding', 'Terminator')",3
"('Constant', 'Scope')",4
"('Bias', 'Sum')",4
"('DigitalClock', 'SubSystem')",12
"('Product', 'Signum')",36
"('Outport', 'If')",197
"('DiscretePulseGenerator', 'SubSystem')",7
"('SubSystem', 'Display')",33
"('SubSystem', 'DotProduct')",12
"('Product', 'SubSystem')",27
"('DotProduct', 'MinMax')",2
"('SubSystem', 'Product')",36
"('Clock', 'SubSystem')",9
"('SubSystem', 'Bias')",11
"('UniformRandomNumber', 'Reference')",8
"('Sum', 'SubSystem')",31
"('DotProduct', 'Reference')",14
"('SubSystem', 'Scope')",19
"('MinMax', 'Reference')",107
"('SubSystem', 'Terminator')",16
"('Product', 'DiscreteStateSpace')",35
"('SubSystem', 'ComplexToRealImag')",8
"('SubSystem', 'Rounding')",10
"('ComplexToRealImag', 'SubSystem')",10
"('RandomNumber', 'SubSystem')",9
"('SubSystem', 'PermuteDimensions')",14
"('SubSystem', 'Assignment')",34
"('Math', 'DiscreteStateSpace')",4
"('Math', 'ComplexToRealImag')",2
"('Sin', 'Inport')",42
"('Sin', 'DotProduct')",6
"('Sum', 'Sin')",44
"('Delay', 'Sin')",88
"('Sqrt', 'Rounding')",2
"('Reshape', 'Outport')",95
"('Rounding', 'Outport')",15
"('Sqrt', 'Reshape')",2
"('Gain', 'Reference')",20
"('DiscreteIntegrator', 'Gain')",2
"('Sqrt', 'Squeeze')",2
"('Squeeze', 'DiscreteIntegrator')",3
"('Squeeze', 'SubSystem')",10
"('Outport', 'DataTypeConversion')",79
"('SubSystem', 'DataTypeConversion')",238
"('Sum', 'DiscreteTransferFcn')",8
"('Gain', 'Sum')",5
"('DiscreteIntegrator', 'Constant')",8
"('Constant', 'DiscreteFir')",49
"('Product', 'DiscreteIntegrator')",6
"('DiscreteIntegrator', 'Product')",5
"('Abs', 'Sum')",4
"('SubSystem', 'Abs')",8
"('Inport', 'Signum')",137
"('Abs', 'DiscreteIntegrator')",5
"('Squeeze', 'Reference')",52
"('Squeeze', 'Product')",4
"('DiscreteTransferFcn', 'Squeeze')",2
"('DiscreteTransferFcn', 'Inport')",16
"('Constant', 'Reshape')",49
"('Reshape', 'Inport')",24
"('Sin', 'Constant')",32
"('Inport', 'ComplexToMagnitudeAngle')",141
"('UnaryMinus', 'Inport')",13
"('ComplexToRealImag', 'UnaryMinus')",4
"('Delay', 'Gain')",19
"('Assignment', 'Abs')",3
"('Abs', 'ComplexToMagnitudeAngle')",4
"('Abs', 'Constant')",2
"('ComplexToMagnitudeAngle', 'Constant')",30
"('ComplexToMagnitudeAngle', 'Inport')",36
"('DiscreteZeroPole', 'Assignment')",3
"('Constant', 'DiscreteTransferFcn')",11
"('Product', 'Sin')",2
"('Sin', 'Reference')",15
"('Reference', 'MinMax')",133
"('Ground', 'Reference')",5
"('Step', 'Terminator')",2
"('DiscretePulseGenerator', 'Sum')",2
"('Ground', 'Delay')",4
"('DiscreteStateSpace', 'Bias')",2
"('Bias', 'UnitDelay')",4
"('Trigonometry', 'Outport')",268
"('Product', 'DotProduct')",4
