,times
"('Bias', 'Inport')",4
"('Trigonometry', 'Constant')",78
"('Math', 'Inport')",2
"('Outport', 'ActionPort')",2
"('ActionPort', 'Outport')",3
"('Inport', 'ActionPort')",2
"('ActionPort', 'Inport')",2
"('MinMax', 'Product')",73
"('If', 'Constant')",2
"('Constant', 'unknown')",8
"('If', 'DiscreteFilter')",85
"('Sqrt', 'Signum')",2
"('Math', 'Sum')",2
"('ComplexToRealImag', 'Sum')",4
"('Squeeze', 'Rounding')",3
"('Bias', 'Product')",2
"('Outport', 'Math')",3
"('Abs', 'Polyval')",2
"('PermuteDimensions', 'DiscreteFilter')",2
"('Abs', 'DiscreteZeroPole')",2
"('DiscreteZeroPole', 'Abs')",2
"('DiscreteFilter', 'If')",70
"('DiscreteFir', 'If')",162
"('If', 'DiscreteFir')",176
"('Terminator', 'Reference')",116
"('Constant', 'DigitalClock')",31
"('Terminator', 'Squeeze')",40
"('Squeeze', 'DigitalClock')",29
"('DigitalClock', 'Signum')",35
"('Signum', 'DigitalClock')",27
"('Terminator', 'DigitalClock')",26
"('Terminator', 'Delay')",93
"('DigitalClock', 'Constant')",22
"('Squeeze', 'Terminator')",40
"('DigitalClock', 'Squeeze')",49
"('Sum', 'Terminator')",112
"('Terminator', 'Outport')",29
"('Sum', 'DigitalClock')",37
"('Terminator', 'Sum')",115
"('DigitalClock', 'Inport')",43
"('Terminator', 'Constant')",82
"('Delay', 'DigitalClock')",39
"('Signum', 'Squeeze')",43
"('Inport', 'DigitalClock')",84
"('Terminator', 'Inport')",84
"('Terminator', 'Signum')",32
"('Outport', 'Terminator')",23
"('DigitalClock', 'Terminator')",31
"('Reference', 'DigitalClock')",24
"('Outport', 'DigitalClock')",7
"('DiscreteZeroPole', 'Math')",2
"('Sqrt', 'Math')",2
"('UnitDelay', 'Sum')",2
"('DotProduct', 'Sqrt')",44
"('DotProduct', 'DiscreteFir')",89
"('Sqrt', 'DiscreteFir')",95
"('DiscreteFir', 'DotProduct')",89
"('If', 'DotProduct')",74
"('DotProduct', 'If')",82
"('DotProduct', 'DiscreteFilter')",51
"('Outport', 'If')",194
"('If', 'If')",59
"('Sum', 'Reshape')",80
"('Trigonometry', 'Terminator')",29
"('Terminator', 'MinMax')",52
"('Terminator', 'DiscreteFir')",32
"('Terminator', 'Product')",47
"('Trigonometry', 'MinMax')",37
"('MinMax', 'DiscreteFir')",43
"('Terminator', 'Trigonometry')",16
"('DiscreteTransferFcn', 'Gain')",2
"('Trigonometry', 'Reshape')",39
"('Reshape', 'Trigonometry')",38
"('Reshape', 'Constant')",18
"('ComplexToMagnitudeAngle', 'Reshape')",36
