,CloneContent,CloneDetection,CyclomaticComplexity,DescriptiveBlockNames,DiagnosticWarningsCount,ExplicitIOCount,FileCount,IOCount,LayerSeparation,LibraryContent,LibraryLinkCount,MatlabCodeAnalyzerWarnings,MatlabFunctionCount,MatlabLOCCount,ModelAdvisorCheckCompliance.hisl_do178,ModelAdvisorCheckCompliance.maab,ModelAdvisorCheckIssues.hisl_do178,ModelAdvisorCheckIssues.maab,ModelFileCount,ParameterCount,SimulinkBlockCount,StateflowChartCount,StateflowChartObjectCount,StateflowLOCCount,SubSystemCount,SubSystemDepth
Sample61.mdl,0.0,0.0,0.061224489795918366,0.0,0.02040816326530612,0.14285714285714285,0.02040816326530612,0.14285714285714285,0.12244897959183673,0.0,0.0,0.0,0.0,0.0,0.053061224489795916,0.053375196232339085,0.6326530612244897,0.9999999999999999,0.02040816326530612,0.0,0.6122448979591836,0.0,0.0,0.0,0.04081632653061224,0.0
Sample610.mdl,0.0,0.0,0.037037037037037035,0.0,0.05555555555555555,0.18518518518518517,0.018518518518518517,0.18518518518518517,0.09259259259259259,0.0,0.0,0.0,0.0,0.0,0.06502057613168724,0.06604506604506603,0.6666666666666666,1.0,0.018518518518518517,0.0,0.7592592592592592,0.0,0.0,0.0,0.05555555555555555,0.0
Sample611.mdl,0.0,0.0,0.05714285714285714,0.0,0.0,0.08571428571428572,0.02857142857142857,0.08571428571428572,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.04507936507936507,0.050349650349650346,1.0,0.9714285714285714,0.02857142857142857,0.0,0.6285714285714286,0.0,0.0,0.0,0.02857142857142857,0.0
Sample612.mdl,0.0,0.0,0.1016949152542373,0.01694915254237288,0.11864406779661017,0.1694915254237288,0.01694915254237288,0.1694915254237288,0.11864406779661017,0.0,0.0,0.0,0.0,0.0,0.04350282485875707,0.044802654972146506,0.559322033898305,0.9661016949152542,0.01694915254237288,0.0,1.0,0.0,0.0,0.0,0.03389830508474576,0.0
Sample613.mdl,0.0,0.0,0.02666666666666667,0.0,0.05333333333333334,0.2,0.013333333333333334,0.2,0.09333333333333334,0.0,0.0,0.0,0.0,0.0,0.04562962962962964,0.046899766899766895,0.5733333333333334,1.0,0.013333333333333334,0.0,0.64,0.0,0.0,0.0,0.04,0.0
Sample614.mdl,0.0,0.0,0.0,0.0,0.06896551724137931,0.20689655172413793,0.017241379310344827,0.20689655172413793,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.06072796934865901,0.06124909573185435,0.6551724137931034,1.0,0.017241379310344827,0.0,0.7413793103448276,0.0,0.0,0.0,0.05172413793103448,0.0
Sample615.mdl,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019865319865319867,0.028183937274846364,1.0,0.33333333333333337,0.030303030303030304,0.0,0.15151515151515152,0.0,0.0,0.0,0.0,0.0
Sample616.mdl,0.0,0.0,0.03225806451612903,0.0,0.12903225806451613,0.2096774193548387,0.016129032258064516,0.2096774193548387,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.05663082437275986,0.058087074216106475,0.5483870967741935,1.0,0.016129032258064516,0.0,0.7258064516129032,0.0,0.0,0.0,0.04838709677419355,0.0
Sample617.mdl,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.02114695340501792,0.0295510940672231,1.0,0.4193548387096774,0.03225806451612903,0.0,0.1935483870967742,0.0,0.0,0.0,0.0,0.0
Sample618.mdl,0.0,0.0,0.018786127167630055,0.0,0.028901734104046242,0.36560693641618497,0.001445086705202312,0.36560693641618497,0.203757225433526,0.0,0.0,0.0,0.0,0.0,0.1366409762363518,0.13395852702211067,0.17052023121387283,1.0,0.001445086705202312,0.0,0.7673410404624277,0.0,0.0,0.0,0.14739884393063582,0.0
